Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
[3]      0.3    0.00    1.02       1         KadC_stop [3]
                1.00    0.00       1/1           stopKadEngine [4]
                0.00    0.02       1/1           overnetinifileupdate [6]
                0.00    0.00       1/1           stopUDPIO [191]
                0.00    0.00       1/1           destroy_kba [177]
                0.00    0.00       1/1           stopRTP [190]
                0.00    0.00       1/21954       KadC_free [24]
-----------------------------------------------
                1.00    0.00       1/1           KadC_stop [3]
[4]      0.3    1.00    0.00       1         stopKadEngine [4]
                0.00    0.00       2/110743      Debug_pthread_mutex_lock [16]
                0.00    0.00       2/110743      Debug_pthread_mutex_unlock [17]
                0.00    0.00       1/382         rbt_size [88]
                0.00    0.00       1/1032        reapDeadServerThreads [71]
                0.00    0.00       1/1384        destroyq [62]
                0.00    0.00       1/157         rbt_destroy [103]
                0.00    0.00       1/21954       KadC_free [24]
-----------------------------------------------
                0.00    0.00    2040/35192       overnetinifileupdate [6]
                0.02    0.00   33152/35192       KadC_int128flog [7]
[5]      0.0    0.02    0.00   35192         KadC_flog [5]
                0.00    0.00   35192/110743      Debug_pthread_mutex_lock [16]
                0.00    0.00   35192/110743      Debug_pthread_mutex_unlock [17]
-----------------------------------------------
                0.00    0.02       1/1           KadC_stop [3]
[6]      0.0    0.00    0.02       1         overnetinifileupdate [6]
                0.00    0.02    2039/2072        KadC_int128flog [7]
                0.00    0.00    2040/35192       KadC_flog [5]
                0.00    0.00    2040/7216        rbt_begin [32]
                0.00    0.00    2039/8615        rbt_value [29]
                0.00    0.00    2039/2100        htoa [51]
                0.00    0.00    2039/7841        rbt_erase [31]
                0.00    0.00    2039/21954       KadC_free [24]
                0.00    0.00       1/1           startreplacesection [189]
                0.00    0.00       1/110743      Debug_pthread_mutex_lock [16]
                0.00    0.00       1/382         rbt_size [88]
                0.00    0.00       1/157         rbt_destroy [103]
                0.00    0.00       1/110743      Debug_pthread_mutex_unlock [17]
                0.00    0.00       1/1           endreplacesection [178]
-----------------------------------------------
                0.00    0.00       6/2072        KadC_find [12]
                0.00    0.00      27/2072        overnet_republishnow [10]
                0.00    0.02    2039/2072        overnetinifileupdate [6]
[7]      0.0    0.00    0.02    2072         KadC_int128flog [7]
                0.02    0.00   33152/35192       KadC_flog [5]
-----------------------------------------------
                                                 <spontaneous>
[8]      0.0    0.01    0.00                 vfprintf [8]
-----------------------------------------------
                0.00    0.00       1/1           publishing_thread [11]
[9]      0.0    0.00    0.00       1         KadC_republish [9]
                0.00    0.00       1/1           overnet_republishnow [10]
                0.00    0.00       1/7           MD4 [149]
                0.00    0.00       1/2050        string2int128 [54]
                0.00    0.00       1/1           make_kobject [180]
                0.00    0.00       1/6           kobject_destroy [157]
-----------------------------------------------
                0.00    0.00       1/1           KadC_republish [9]
[10]     0.0    0.00    0.00       1         overnet_republishnow [10]
                0.00    0.00      27/2072        KadC_int128flog [7]
                0.00    0.00     114/7216        rbt_begin [32]
                0.00    0.00     113/8615        rbt_value [29]
                0.00    0.00     113/7841        rbt_erase [31]
                0.00    0.00     113/21954       KadC_free [24]
                0.00    0.00      57/256         KadC_log [93]
                0.00    0.00      54/2100        htoa [51]
                0.00    0.00      27/7036        int128xor [33]
                0.00    0.00      27/1005        int128xorlog [75]
                0.00    0.00      27/27          sendOvernetPublish [128]
                0.00    0.00      27/1396        getpktt [61]
                0.00    0.00      27/1381        destroySessionObject [68]
                0.00    0.00      20/104545      int128eq [18]
                0.00    0.00      20/753         destroypkt [80]
                0.00    0.00       7/970         UpdateNodeStatus [76]
                0.00    0.00       1/1           kobject_dump [179]
                0.00    0.00       1/8           Overnet_find [146]
                0.00    0.00       1/382         rbt_size [88]
                0.00    0.00       1/157         rbt_destroy [103]
-----------------------------------------------
                                                 <spontaneous>
[11]     0.0    0.00    0.00                 publishing_thread [11]
                0.00    0.00       1/1           KadC_republish [9]
                0.00    0.00     488/488         millisleep_exit [85]
                0.00    0.00      49/52          KadC_getextIP [115]
                0.00    0.00       2/2100        htoa [51]
                0.00    0.00       2/256         KadC_log [93]
-----------------------------------------------
                0.00    0.00       6/6           p2pquery [13]
[12]     0.0    0.00    0.00       6         KadC_find [12]
                0.00    0.00       6/2072        KadC_int128flog [7]
